Sr_No,Video_url,Thumbnail,Title,Views,Published_Time
1,https://www.youtube.com/watch?v=wXkY3FqnlRA,https://i.ytimg.com/vi/wXkY3FqnlRA/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==\u0026rs=AOn4CLAM9VtjGosOeFhwZxdQH_-QdNyXCQ,Long March Farmer |  शेतकरी आंदोलनातील एका आंदोलकाचा मृत्यू झाल्याची माहिती,788 views,7 minutes ago
2,https://www.youtube.com/watch?v=tHT-HXZBgaw,https://i.ytimg.com/vi/tHT-HXZBgaw/hqdefault.jpg?sqp=-oaymwE8CKgBEF5IWvKriqkDLwgBFQAAAAAYASUAAMhCPQCAokN4AfABAfgB_gmAAtAFigIMCAAQARh_IBMoFTAP\u0026rs=AOn4CLAPc4WpmcOvvDmU5AgACTMmYmnRQQ,Ajit Navale | शेतकऱ्यांबाबत स्थापन समितीत अजित नवले यांच नाव नाही,303 views,10 minutes ago
3,https://www.youtube.com/watch?v=jXloGqVO_r0,https://i.ytimg.com/vi/jXloGqVO_r0/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==\u0026rs=AOn4CLDm5x-Njpo1oDEwIuD8-XfiG1h9Yw,Long March Breaking | शेतकरी लाँग मार्च मागे घेण्याची शक्यता; थोड्याच वेळात अधिकृत घोषणा होणार,3.8K views,18 minutes ago
4,https://www.youtube.com/watch?v=chP8ZtsQUUg,https://i.ytimg.com/vi/chP8ZtsQUUg/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==\u0026rs=AOn4CLD-VA05xXKwuxsdMpjD6BKbFyQREg,Chandrashekhar Bawankule | 'भाजपा - शिवसेना जागा वाटपाचा कोणताही फॉर्म्युला ठकलेला नाही' - बावनकुळे,2.1K views,23 minutes ago
5,https://www.youtube.com/watch?v=ImrGP9oFxDo,https://i.ytimg.com/vi/ImrGP9oFxDo/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==\u0026rs=AOn4CLCzFCe0swIuCsOChN31TLI7SVQ0Kg,Mumbai : बागेश्वर बाबांच्या कार्यक्रमाला भाविकांची गर्दी,1.5K views,25 minutes ago
6,https://www.youtube.com/watch?v=AJ6_Op7mY2g,https://i.ytimg.com/vi/AJ6_Op7mY2g/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==\u0026rs=AOn4CLCdZcVyIT3sQl_pOma1rGB5-fjg_A,"Sanjay Raut On Longmarch : मोर्चातील शेतकऱ्यांचा मृत्यु, सरकारचा हलगरजीपणा",1.2K views,26 minutes ago
